id,name,tax
GCA_905340225.1,Abrostola tripartita,938171 254364 95186 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_001949145.1,crown-of-thorns starfish,133434 133433 133432 41166 41243 7588 7587 133551 7586 33511 33213 6072 33208 33154 2759 131567
GCA_016904835.1,rifleman,57068 57067 38633 9126 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_021347895.1,spiny chromis,80966 80965 30863 1489909 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_904848185.1,yellowfin seabream,8177 8176 8169 1489931 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_008009225.1,Acer yangbiense,1000413 4022 1977919 1977916 23672 41937 91836 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567
GCF_010645085.1,sterlet,7906 7901 124130 124129 7900 186622 7899 32440 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_923062465.1,Acleris sparsana,758717 572799 173709 65022 7139 37568 104430 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_000222465.1,Acropora digitifera,70779 6127 6126 123757 6125 6102 6101 6073 6072 33208 33154 2759 131567
GCF_005508785.1,pea aphid,7029 7028 33386 133076 27482 33385 33380 33373 7524 33342 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_910592335.1,two-spotted ladybird beetle,7084 7083 263631 7081 7080 71526 41088 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_002204515.2,yellow fever mosquito,7159 53541 7158 1056966 43817 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_911387785.1,Aelia acuminata,1511221 631388 286710 160513 33358 33357 33351 33349 33347 33345 33343 7524 33342 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_922987775.1,Agonopterix subpropinquella,1857958 262437 116119 2681869 37581 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_000699045.2,emerald ash borer,224129 195164 261156 50527 71192 41087 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_914767755.1,Agrochola circellaris,987866 689302 572922 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_916701695.1,Agrochola macilenta,987872 689302 572922 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_002007445.1,giant panda,9646 9645 9632 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_008658365.1,razorbill,28689 28688 28683 8906 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_000281125.1,American alligator,8496 8495 34915 1294636 1294634 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_000455745.1,Chinese alligator,38654 8495 34915 1294636 1294634 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_018492685.1,American shad,34773 34772 55119 55118 1489460 32446 282425 186634 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_010909765.2,thorny skate,386614 117853 30475 7858 117893 7778 7777 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_013435755.1,Midas cichlid,61819 61818 318529 318559 319056 8113 1489911 1489910 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_000090795.1,Amphimedon queenslandica,400682 178513 178475 6049 1779146 6042 6040 33208 33154 2759 131567
GCA_003047355.2,orange clownfish,161767 80969 30863 1489909 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_910594945.1,Amphipyra berbera,987877 56365 95182 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_905220435.1,Amphipyra tragopoginis,689058 56365 95182 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_900324465.2,climbing perch,64144 64143 64142 50370 1489900 1489892 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_014839685.1,largescale foureyes,195821 143028 143027 143026 8087 28738 1489913 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_004355925.1,wolf-eel,433405 433404 8202 8192 8100 8111 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_015476345.1,mallard,8839 8835 2068716 8830 8826 1549675 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_910592295.1,Andrena haemorrhoa,444401 205271 48720 205141 48719 34735 7434 7400 7399 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_013347855.1,European eel,7936 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_000470695.1,Japanese eel,7937 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCA_018555375.2,American eel,7938 7935 7934 7933 32521 186624 1489340 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_000090745.1,green anole,28377 28376 2024747 8511 1329911 1329912 1329950 1329961 8509 8504 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567
GCF_016920715.1,Anopheles arabiensis,7173 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCA_016170035.1,Anopheles cf. funestus SBV-2013,1355220 59142 59140 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_016920705.1,Anopheles coluzzii,1518534 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
GCF_000005575.2,Anopheles gambiae str. PEST,180454 7165 44542 44537 44534 7164 43816 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567
