
code	|	name	|	preferred name	|	lineage
1	|	Abrostola tripartita	|	 	|	938171 254364 95186 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	crown-of-thorns starfish	|	Acanthaster planci	|	133434 133433 133432 41166 41243 7588 7587 133551 7586 33511 33213 6072 33208 33154 2759 131567 
2	|	rifleman	|	Acanthisitta chloris	|	57068 57067 38633 9126 8825 8782 436492 436491 436489 436486 8492 1329799 32561 8457 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	spiny chromis	|	Acanthochromis polyacanthus	|	80966 80965 30863 1489909 1489908 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
2	|	yellowfin seabream	|	Acanthopagrus latus	|	8177 8176 8169 1489931 1489922 1489872 123369 123368 123367 123366 123365 1489388 186625 1489341 32443 41665 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Acer yangbiense	|	 	|	1000413 4022 1977919 1977916 23672 41937 91836 71275 1437201 91827 71240 1437183 3398 58024 78536 58023 3193 131221 35493 33090 2759 131567 
2	|	sterlet	|	Acipenser ruthenus	|	7906 7901 124130 124129 7900 186622 7899 32440 186623 7898 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
1	|	Acleris sparsana	|	 	|	758717 572799 173709 65022 7139 37568 104430 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Acropora digitifera	|	 	|	70779 6127 6126 123757 6125 6102 6101 6073 6072 33208 33154 2759 131567 
2	|	pea aphid	|	Acyrthosiphon pisum	|	7029 7028 33386 133076 27482 33385 33380 33373 7524 33342 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	two-spotted ladybird beetle	|	Adalia bipunctata	|	7084 7083 263631 7081 7080 71526 41088 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	yellow fever mosquito	|	Aedes aegypti	|	7159 53541 7158 1056966 43817 7157 41827 43786 7148 7147 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Aelia acuminata	|	 	|	1511221 631388 286710 160513 33358 33357 33351 33349 33347 33345 33343 7524 33342 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Agonopterix subpropinquella	|	 	|	1857958 262437 116119 2681869 37581 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	emerald ash borer	|	Agrilus planipennis	|	224129 195164 261156 50527 71192 41087 41084 7041 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Agrochola circellaris	|	 	|	987866 689302 572922 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
1	|	Agrochola macilenta	|	 	|	987872 689302 572922 7100 37570 104431 37567 41197 41196 41191 7088 85604 33392 33340 7496 85512 50557 6960 197562 197563 6656 88770 1206794 33317 33213 6072 33208 33154 2759 131567 
2	|	giant panda	|	Ailuropoda melanoleuca	|	9646 9645 9632 379584 33554 314145 1437010 9347 32525 40674 32524 32523 1338369 8287 117571 117570 7776 7742 89593 7711 33511 33213 6072 33208 33154 2759 131567 
